@relation Training-weka.filters.unsupervised.attribute.Remove-R1

@attribute score_tag {NONE,P,NEU,N,P+,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute anger numeric
@attribute joy numeric
@attribute fear numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute noAlphanumerics numeric
@attribute negation_words numeric
@attribute word_number numeric
@attribute misspelled numeric
@attribute class {1,2,3,4,5}

@data
N,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.647898,0.076203,0.047822,0.206763,0.021315,385,22,366,16,2
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.573801,0.045421,0.122762,0.201101,0.056914,103,11,99,1,2
P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.761927,0.034622,0.028339,0.143119,0.031992,198,44,193,2,2
P,AGREEMENT,SUBJECTIVE,90,IRONIC,0.551338,0.074391,0.078792,0.258819,0.03666,96,0,94,3,2
P,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.157954,0.44837,0.153976,0.157317,0.082383,24,0,23,3,2
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.518992,0.035567,0.097768,0.156151,0.191523,204,44,198,3,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.501894,0.074414,0.071381,0.275026,0.077285,231,0,229,5,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.624976,0.029307,0.058714,0.273138,0.013865,193,0,189,5,2
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.342568,0.0515,0.044327,0.512009,0.049596,224,0,203,3,2
NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.478559,0.135208,0.118395,0.254248,0.01359,36,11,34,3,2
N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.683783,0.042462,0.04565,0.221585,0.00652,85,22,81,2,2
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.680392,0.022787,0.081051,0.198974,0.016796,227,22,215,5,2
P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.320706,0.062717,0.177088,0.408738,0.030752,101,11,99,5,2
N,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.228072,0.072514,0.043569,0.44829,0.207555,68,22,64,1,2
P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.609238,0.032517,0.055476,0.298799,0.00397,164,44,154,4,2
P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.550289,0.050632,0.130206,0.246154,0.022719,119,11,113,3,2
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.498088,0.102448,0.087615,0.193501,0.118347,114,0,113,3,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.286472,0.308526,0.055432,0.257231,0.092339,172,11,166,5,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.422406,0.204708,0.068215,0.19767,0.107002,30,0,29,1,2
P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.140228,0.115992,0.032374,0.57205,0.139355,106,22,99,4,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.431078,0.049688,0.113394,0.369248,0.036592,117,33,113,2,2
N+,AGREEMENT,SUBJECTIVE,90,IRONIC,0.286044,0.149698,0.111351,0.431837,0.021071,59,0,55,0,2
P+,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.501184,0.140009,0.05394,0.260156,0.044712,170,44,162,1,2
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.392007,0.047808,0.093415,0.338335,0.128436,58,22,55,2,2
N,AGREEMENT,SUBJECTIVE,88,NONIRONIC,0.40987,0.124966,0.069648,0.328873,0.066643,66,0,65,1,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.451005,0.071761,0.166288,0.214656,0.09629,91,44,86,1,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.387569,0.075171,0.139495,0.345517,0.052247,79,0,77,2,2
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.643515,0.014787,0.031639,0.302601,0.007459,122,0,118,3,2
N,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.569125,0.053892,0.048291,0.300293,0.028399,19,11,17,1,2
P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.068861,0.441256,0.043226,0.160166,0.286491,140,11,136,2,2
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.396153,0.042647,0.109198,0.400438,0.051563,171,22,155,2,2
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.30248,0.130572,0.054934,0.271939,0.240074,92,11,90,3,2
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.60296,0.043921,0.07326,0.263226,0.016633,107,22,103,1,2
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.388875,0.050858,0.128175,0.376811,0.055281,111,0,75,0,2
P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.522602,0.176367,0.040772,0.171949,0.08831,112,0,111,6,2
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.316784,0.058264,0.199084,0.403046,0.022822,97,0,95,1,2
P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.094902,0.499857,0.021854,0.142702,0.240685,53,22,50,2,2
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.414645,0.033167,0.038879,0.472219,0.04109,92,0,89,2,2
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.458326,0.193953,0.03887,0.280858,0.027993,292,55,285,6,2
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.384871,0.091746,0.329085,0.15488,0.039417,64,0,63,1,2
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.452126,0.045054,0.037471,0.373136,0.092213,65,11,63,0,2
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.718324,0.017324,0.019738,0.238012,0.006602,58,22,54,0,2
P,DISAGREEMENT,SUBJECTIVE,90,NONIRONIC,0.323765,0.065839,0.089881,0.484838,0.035676,97,0,96,4,2
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.569644,0.063899,0.123201,0.210775,0.032481,87,0,86,2,2
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.462768,0.05974,0.098576,0.302715,0.076202,111,0,108,0,2
NEU,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.615021,0.098353,0.060943,0.179166,0.046517,166,55,159,2,2
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.541919,0.050594,0.181786,0.211169,0.014532,214,33,209,10,2
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.220812,0.107388,0.129202,0.44192,0.100677,145,0,140,6,2
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.220691,0.454458,0.104912,0.199556,0.020382,96,0,95,2,2
N+,AGREEMENT,SUBJECTIVE,82,IRONIC,0.448967,0.045481,0.05588,0.394544,0.055128,282,22,278,4,2
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.654026,0.044427,0.036129,0.215574,0.049844,122,11,118,2,2
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.316549,0.114464,0.078633,0.451729,0.038625,169,33,163,1,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.586801,0.03856,0.077306,0.256696,0.040636,104,11,101,2,2
N,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.616446,0.013843,0.036976,0.312685,0.020049,68,22,64,1,2
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.484578,0.033971,0.063065,0.376503,0.041884,173,0,168,6,2
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.176622,0.126893,0.045929,0.63536,0.015195,398,33,384,18,2
N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.681484,0.026672,0.046761,0.240184,0.004899,84,0,83,4,2
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.497689,0.058874,0.051549,0.35044,0.041447,71,0,66,0,2
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.447993,0.053899,0.064861,0.418845,0.014402,145,33,141,6,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.67939,0.053969,0.047375,0.203915,0.015351,130,0,122,5,2
NEU,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.637834,0.071639,0.068978,0.212245,0.009304,144,55,134,6,2
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.521051,0.041152,0.102147,0.295432,0.040218,85,0,81,2,2
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.292525,0.422373,0.041866,0.231874,0.011361,82,0,80,1,2
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.405796,0.183813,0.206108,0.178566,0.025717,96,33,92,1,2
P+,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.300853,0.065415,0.050455,0.453871,0.129405,64,0,63,0,2
N,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.487238,0.047072,0.066593,0.360394,0.038702,98,22,95,2,2
P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.334118,0.123208,0.077648,0.355323,0.109703,36,11,34,1,2
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.648675,0.00552,0.024823,0.23311,0.087871,88,0,87,2,2
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.270154,0.030271,0.042752,0.590137,0.066687,83,0,82,1,2
P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.53231,0.062615,0.091547,0.284432,0.029096,483,0,314,3,2
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.207144,0.127817,0.027196,0.160073,0.47777,58,0,57,2,2
P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.143597,0.195376,0.078656,0.151192,0.43118,108,11,106,1,2
N,DISAGREEMENT,SUBJECTIVE,89,NONIRONIC,0.511509,0.046212,0.128514,0.245502,0.068262,117,11,113,1,2
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.49885,0.070728,0.18098,0.231518,0.017924,44,0,43,0,2
NEU,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.589442,0.030635,0.046686,0.134174,0.199063,60,22,57,2,2
NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.609889,0.049914,0.06099,0.268363,0.010844,166,22,162,2,2
P+,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.536661,0.059189,0.043552,0.251881,0.108718,158,22,155,12,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.261218,0.291897,0.071756,0.333993,0.041136,77,11,73,1,2
P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.751116,0.025922,0.049141,0.161555,0.012267,106,22,103,0,2
P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.147179,0.030491,0.445895,0.356898,0.019537,55,0,53,4,2
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.312567,0.019441,0.064299,0.548493,0.0552,92,0,91,2,2
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.75403,0.01988,0.02869,0.154325,0.043074,46,0,45,2,2
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.123247,0.249177,0.029083,0.250633,0.347861,129,11,123,2,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.680875,0.050886,0.119229,0.138921,0.01009,66,11,62,1,2
P+,AGREEMENT,SUBJECTIVE,89,NONIRONIC,0.384413,0.024701,0.058641,0.476023,0.056222,76,22,71,1,2
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.44272,0.027077,0.022974,0.485075,0.022154,76,0,75,2,2
P,AGREEMENT,SUBJECTIVE,90,IRONIC,0.598827,0.025523,0.051593,0.204973,0.119083,132,0,131,4,2
P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.397466,0.068677,0.10081,0.387559,0.045488,112,22,109,0,2
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.45076,0.013431,0.084503,0.439242,0.012064,99,55,93,4,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.289675,0.210624,0.057012,0.337411,0.105279,104,0,101,3,2
N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.539277,0.057216,0.026705,0.193002,0.1838,57,0,51,3,2
NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.91091,0.002106,0.009384,0.076313,0.001287,111,11,109,0,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.652033,0.014098,0.075679,0.189884,0.068305,146,0,145,4,2
P,AGREEMENT,SUBJECTIVE,82,IRONIC,0.456795,0.167121,0.047107,0.283654,0.045322,94,33,90,1,2
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.686039,0.060761,0.045454,0.200037,0.007709,99,11,97,4,2
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.814179,0.009898,0.033304,0.113783,0.028836,250,66,241,1,2
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.231142,0.055102,0.085623,0.594834,0.033299,108,11,106,7,2
P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.257337,0.112717,0.086819,0.438819,0.104308,122,0,120,0,2
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.678505,0.046011,0.046266,0.154353,0.074866,233,44,227,2,2
N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.767468,0.030246,0.024997,0.157035,0.020254,85,11,82,3,2
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.679354,0.037078,0.069163,0.189093,0.025312,23,0,22,0,2
N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.792846,0.047359,0.018976,0.116584,0.024236,78,0,76,0,2
P,AGREEMENT,SUBJECTIVE,89,NONIRONIC,0.344982,0.089569,0.038921,0.437414,0.089113,62,0,61,0,2
NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.334746,0.106716,0.167926,0.362623,0.027988,124,22,121,1,2
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.574272,0.026175,0.166286,0.211311,0.021956,38,0,37,1,2
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.791024,0.003806,0.009027,0.189706,0.006437,56,0,55,3,2
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.926432,0.001532,0.008152,0.056852,0.007032,71,0,69,1,2
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.350606,0.013895,0.015024,0.358401,0.262075,158,55,150,4,2
P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.716234,0.015857,0.039108,0.218022,0.010779,115,22,108,9,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.634233,0.040328,0.039847,0.269909,0.015682,228,11,226,2,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.155121,0.04734,0.068842,0.631705,0.096992,87,0,85,1,2
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.315067,0.092334,0.092303,0.462635,0.037661,105,44,100,1,2
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.373774,0.060402,0.098416,0.460074,0.007335,215,0,213,5,2
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.385179,0.163198,0.072179,0.367577,0.011867,167,11,164,4,2
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.235979,0.33992,0.0556,0.336637,0.031863,149,33,145,0,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.196999,0.090723,0.102232,0.550921,0.059125,79,0,78,3,2
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.806463,0.017615,0.049172,0.119294,0.007457,83,11,80,2,2
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.478334,0.156355,0.12084,0.225296,0.019174,106,11,103,3,2
NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.620475,0.075805,0.056613,0.157589,0.089519,199,11,193,8,2
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.728222,0.069096,0.04211,0.129813,0.030759,140,88,129,1,2
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.495,0.046967,0.102771,0.324373,0.030889,147,0,146,2,2
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.286463,0.208926,0.052635,0.419047,0.032929,135,0,133,4,2
N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.25144,0.375881,0.067257,0.205041,0.100381,159,11,149,1,2
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.507238,0.121181,0.047041,0.269546,0.054994,165,0,155,8,2
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.489723,0.03252,0.106435,0.355788,0.015533,202,11,189,3,2
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.667381,0.063499,0.09652,0.14627,0.026331,98,0,97,3,2
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.793752,0.012271,0.034441,0.156566,0.00297,125,0,104,1,2
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.553296,0.068556,0.061415,0.226947,0.089785,131,11,129,2,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.357918,0.068054,0.048594,0.510109,0.015325,119,0,115,6,2
NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.553958,0.046253,0.124998,0.262347,0.012444,78,22,72,1,2
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.368185,0.056208,0.066768,0.476618,0.032221,70,0,67,0,2
N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.682031,0.066146,0.039104,0.180639,0.032078,129,11,127,1,2
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.78325,0.005506,0.018909,0.159904,0.032431,123,0,122,2,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.521402,0.068266,0.09116,0.251176,0.067996,96,22,92,0,2
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.475276,0.090006,0.161405,0.233972,0.039341,104,0,101,3,2
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.600098,0.031824,0.0604,0.268587,0.039092,133,0,131,1,2
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.647816,0.022296,0.164652,0.160895,0.004341,74,11,72,1,2
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.575604,0.034393,0.044039,0.317944,0.02802,226,55,216,3,2
P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.513871,0.049691,0.078864,0.24815,0.109423,76,0,75,3,2
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.407819,0.025298,0.354562,0.177309,0.035012,434,55,426,15,2
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.519617,0.111053,0.080572,0.253168,0.035591,54,0,50,3,2
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.530448,0.229679,0.060233,0.151727,0.027914,113,11,107,1,2
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.790817,0.029519,0.031018,0.142223,0.006423,165,44,156,5,2
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.682572,0.016887,0.054493,0.237574,0.008473,415,88,403,8,2
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.505488,0.062076,0.102921,0.262126,0.06739,572,0,339,14,2
NEU,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.38707,0.043507,0.07884,0.317262,0.173321,76,33,72,3,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.725996,0.01615,0.057947,0.150114,0.049793,74,11,72,3,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.357135,0.308915,0.085477,0.186341,0.062133,290,77,281,5,2
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.511003,0.04617,0.039816,0.388241,0.01477,145,22,139,4,2
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.624791,0.033845,0.055271,0.244832,0.041261,139,0,137,3,2
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.565299,0.041748,0.046771,0.294597,0.051585,92,22,89,1,2
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.317881,0.027533,0.040608,0.571263,0.042715,64,0,63,1,2
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.355792,0.085248,0.077341,0.30587,0.175749,82,11,79,3,2
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.649368,0.0318,0.029571,0.286142,0.003118,131,33,127,3,2
N,AGREEMENT,SUBJECTIVE,82,IRONIC,0.399311,0.100724,0.095381,0.388845,0.015739,190,33,180,5,2
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.323943,0.23299,0.082714,0.290141,0.070213,78,0,73,2,2
N+,AGREEMENT,SUBJECTIVE,90,IRONIC,0.27367,0.091382,0.082222,0.506995,0.04573,242,22,235,2,2
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.254991,0.084643,0.188648,0.438484,0.033234,62,11,60,1,2
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.384119,0.035094,0.043771,0.413062,0.123955,64,11,61,0,2
NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.25514,0.10898,0.072206,0.514561,0.049112,148,0,138,1,2
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.536747,0.165211,0.030081,0.236576,0.031385,553,11,543,23,2
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.295538,0.142477,0.160302,0.331731,0.069952,572,88,551,13,2
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.314207,0.099279,0.070744,0.443608,0.072162,347,66,335,11,2
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.362652,0.088258,0.207238,0.28166,0.060193,137,11,127,3,2
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.408256,0.123755,0.095348,0.335061,0.03758,223,11,219,5,2
N,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.141651,0.490588,0.030828,0.225463,0.11147,70,0,69,3,2
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.402548,0.181814,0.034699,0.332673,0.048265,455,66,448,6,2
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.500957,0.10255,0.088046,0.275016,0.033431,199,0,191,14,2
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.359406,0.179585,0.102412,0.343706,0.01489,164,11,162,3,2
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.537301,0.105416,0.033851,0.295623,0.027809,213,0,171,7,2
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.227837,0.301839,0.162427,0.201917,0.10598,145,11,141,4,2
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.481348,0.080741,0.061234,0.304698,0.071979,113,0,110,1,2
NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.422714,0.146447,0.109372,0.313451,0.008015,245,0,226,6,2
P,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.741379,0.04773,0.041346,0.154955,0.014591,378,99,366,6,2
P,DISAGREEMENT,SUBJECTIVE,71,IRONIC,0.542528,0.03732,0.022358,0.378248,0.019545,33,0,28,0,2
N,AGREEMENT,SUBJECTIVE,90,IRONIC,0.272867,0.090317,0.296076,0.329339,0.011402,112,22,103,1,2
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.467505,0.073519,0.139115,0.252677,0.067184,277,0,276,11,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.193607,0.359181,0.045965,0.377038,0.02421,263,22,257,7,2
N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.360778,0.077744,0.131114,0.400112,0.030252,130,11,126,2,2
NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.375303,0.133585,0.07069,0.36653,0.053891,31,11,29,0,2
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.679851,0.045799,0.098298,0.170093,0.005959,167,11,164,1,2
N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.372702,0.076513,0.035257,0.493847,0.021681,136,0,135,3,2
NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.23797,0.21378,0.057524,0.429409,0.061318,64,11,61,6,2
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.310152,0.136129,0.073699,0.35234,0.12768,144,0,140,6,2
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.283226,0.037856,0.035864,0.612696,0.030358,72,11,69,1,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.34851,0.279817,0.100883,0.242348,0.028442,91,0,89,5,2
NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.235145,0.099074,0.094848,0.536289,0.034643,294,11,290,5,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.343433,0.092269,0.050318,0.437965,0.076016,439,11,433,12,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.213132,0.078203,0.066968,0.593678,0.048019,313,11,303,13,2
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.426762,0.063614,0.151744,0.3419,0.015979,280,99,270,6,2
NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.673522,0.051171,0.072888,0.191935,0.010484,283,0,276,6,2
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.576752,0.125469,0.068999,0.209952,0.018828,91,11,89,2,2
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.829687,0.00889,0.026206,0.1332,0.002017,229,0,227,20,2
P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.851839,0.006287,0.017798,0.120718,0.003358,123,0,119,6,2
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.158187,0.172156,0.169293,0.376247,0.124117,110,0,108,3,2
P,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.222316,0.11678,0.087084,0.518,0.055821,421,66,411,19,2
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.158747,0.065161,0.104563,0.649917,0.021613,206,77,191,16,2
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.553564,0.076148,0.066722,0.279136,0.02443,139,0,138,1,2
NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.305664,0.110385,0.119388,0.43231,0.032253,264,0,261,4,2
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.363669,0.197606,0.058088,0.315393,0.065244,66,0,64,2,2
N,AGREEMENT,SUBJECTIVE,82,IRONIC,0.688099,0.025952,0.061783,0.21271,0.011457,158,55,151,1,2
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.363028,0.065931,0.10717,0.442757,0.021114,567,0,565,16,2
P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.307684,0.329811,0.063967,0.241732,0.056805,374,88,365,13,2
N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.707826,0.069085,0.084921,0.120265,0.017903,231,0,228,11,2
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.369102,0.176971,0.096462,0.322123,0.035342,819,0,726,25,2
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.154892,0.12035,0.203178,0.456413,0.065167,104,0,100,3,2
P,AGREEMENT,OBJECTIVE,97,NONIRONIC,0.234583,0.047674,0.067222,0.59223,0.058292,79,11,77,2,2
