@relation Training-weka.filters.unsupervised.attribute.Remove-R1

@attribute score_tag {NONE,P,NEU,N,P+,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute anger numeric
@attribute joy numeric
@attribute fear numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute noAlphanumerics numeric
@attribute negation_words numeric
@attribute word_number numeric
@attribute misspelled numeric
@attribute class {1,2,3,4,5}

@data
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.596021,0.019076,0.173123,0.194876,0.016904,90,11,88,5,1
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.469805,0.045277,0.054753,0.383299,0.046867,438,22,421,8,1
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.775665,0.02461,0.058807,0.117398,0.023521,93,33,88,3,1
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.532558,0.03248,0.161814,0.207501,0.065647,140,0,117,2,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.644754,0.047436,0.03673,0.244223,0.026856,124,22,120,2,1
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.720231,0.032248,0.041243,0.198203,0.008075,8,0,7,0,1
N+,AGREEMENT,OBJECTIVE,98,NONIRONIC,0.135086,0.196225,0.070086,0.163609,0.434994,142,44,136,4,1
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.654635,0.041099,0.033243,0.256525,0.014498,65,11,62,2,1
NEU,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.592656,0.028497,0.028642,0.335007,0.015198,98,0,97,3,1
NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.623541,0.049564,0.069603,0.20047,0.056821,81,0,79,1,1
N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.57883,0.077492,0.088985,0.205148,0.049545,256,11,247,9,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.499275,0.059835,0.176305,0.250751,0.013834,46,0,45,0,1
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.849471,0.009638,0.011506,0.066461,0.062924,35,0,34,3,1
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.585791,0.066413,0.106113,0.233503,0.00818,225,11,182,3,1
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.600771,0.009855,0.202223,0.185154,0.001997,99,11,97,2,1
N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.707152,0.017502,0.022351,0.241822,0.011174,99,11,96,1,1
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.608358,0.118767,0.040233,0.223346,0.009296,183,0,177,2,1
NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.606136,0.022839,0.150272,0.209003,0.011751,69,0,62,1,1
N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.68192,0.028666,0.197842,0.075372,0.0162,38,0,37,2,1
P,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.340087,0.020853,0.220316,0.414254,0.004491,35,0,34,1,1
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.786107,0.006523,0.020192,0.185283,0.001894,188,22,186,2,1
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.140364,0.100079,0.503562,0.219969,0.036026,209,0,205,8,1
N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.551578,0.041666,0.028299,0.333122,0.045335,76,0,75,0,1
N+,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.301222,0.112847,0.187076,0.381463,0.017392,159,11,155,3,1
NEU,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.684269,0.03313,0.097916,0.176253,0.008432,53,0,51,2,1
N,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.514135,0.066081,0.044461,0.203996,0.171328,157,0,153,6,1
N,AGREEMENT,SUBJECTIVE,89,NONIRONIC,0.608584,0.031386,0.068517,0.242883,0.04863,66,0,64,1,1
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.597193,0.046031,0.071339,0.270457,0.014981,158,11,155,2,1
N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.474242,0.115385,0.087993,0.253465,0.068915,110,11,107,3,1
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.554635,0.102836,0.047114,0.212005,0.083409,194,22,185,8,1
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.468367,0.023862,0.024588,0.475606,0.007577,188,33,182,5,1
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.555211,0.095651,0.084577,0.227089,0.037473,194,0,145,0,1
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.613359,0.011349,0.120585,0.190664,0.064043,63,0,61,0,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.559161,0.016465,0.039004,0.336011,0.049359,105,0,104,4,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.603794,0.082946,0.089257,0.192891,0.031111,174,11,169,17,1
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.232581,0.265598,0.108631,0.192953,0.200238,50,0,49,5,1
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.264804,0.407525,0.066378,0.211159,0.050134,73,0,71,2,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.81027,0.022161,0.039775,0.112828,0.014966,51,0,50,1,1
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.882372,0.0025,0.012458,0.097683,0.004988,180,77,167,5,1
N,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.538558,0.050085,0.13718,0.252869,0.021308,57,11,55,1,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.736956,0.004567,0.042182,0.212388,0.003906,89,0,88,0,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.804898,0.008996,0.069594,0.093108,0.023404,109,0,108,7,1
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.621658,0.013652,0.05431,0.301297,0.009084,105,0,104,2,1
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.226911,0.111324,0.108675,0.467802,0.085287,193,0,191,8,1
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.488161,0.098827,0.05789,0.23022,0.124902,67,22,62,2,1
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.569388,0.050805,0.072494,0.226092,0.08122,48,11,45,2,1
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.681301,0.013385,0.025068,0.278663,0.001582,130,11,120,5,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.522806,0.080625,0.081641,0.246214,0.068714,321,0,317,8,1
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.363154,0.217166,0.117546,0.209797,0.092337,98,0,93,6,1
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.5292,0.099527,0.124688,0.212319,0.034267,146,22,143,2,1
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.446134,0.068386,0.198558,0.26102,0.025901,87,11,85,3,1
P,DISAGREEMENT,OBJECTIVE,83,NONIRONIC,0.419109,0.04897,0.132297,0.327171,0.072453,105,0,102,2,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.495351,0.069001,0.096477,0.303772,0.035398,81,0,79,0,1
N+,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.6458,0.023871,0.03696,0.286575,0.006795,114,11,111,2,1
P,AGREEMENT,SUBJECTIVE,82,IRONIC,0.374187,0.111535,0.299834,0.175183,0.039262,46,0,45,0,1
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.683119,0.013531,0.064638,0.235334,0.003379,183,22,180,4,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.476755,0.038328,0.137991,0.311825,0.035102,95,11,92,0,1
N,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.633857,0.041243,0.093526,0.213574,0.0178,49,0,47,1,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.527797,0.016397,0.068874,0.373505,0.013426,67,0,66,0,1
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.841313,0.017224,0.011761,0.120555,0.009147,95,11,93,1,1
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.565474,0.039967,0.091646,0.290078,0.012835,156,0,155,3,1
N+,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.463125,0.027969,0.102326,0.35355,0.05303,131,11,128,4,1
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.402954,0.045012,0.061678,0.323811,0.166544,122,0,120,2,1
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.793878,0.008801,0.016426,0.164128,0.016767,304,11,299,7,1
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.62245,0.019056,0.031601,0.286048,0.040845,82,0,77,3,1
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.722193,0.031395,0.027879,0.188012,0.030522,196,11,192,1,1
N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.736665,0.012018,0.021859,0.216327,0.013131,58,0,57,0,1
N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.351449,0.165711,0.081416,0.276077,0.125348,97,0,95,7,1
NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.374249,0.040126,0.032163,0.511004,0.042457,32,0,30,0,1
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.875219,0.003703,0.010095,0.109584,0.001399,63,0,62,1,1
N,AGREEMENT,SUBJECTIVE,82,IRONIC,0.557067,0.10064,0.113474,0.215189,0.013629,43,11,40,0,1
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.587422,0.023858,0.086321,0.251533,0.050866,401,99,383,20,1
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.463598,0.048148,0.070751,0.389868,0.027635,43,0,41,1,1
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.353762,0.046863,0.046612,0.276935,0.275829,59,11,55,0,1
NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.297263,0.015866,0.219515,0.417189,0.050166,194,0,185,4,1
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.396647,0.035885,0.106742,0.449739,0.010987,111,11,107,3,1
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.567171,0.050778,0.075594,0.176004,0.130453,54,0,52,1,1
