@relation TestingWordCounter-weka.filters.unsupervised.attribute.Remove-R1

@attribute score_tag {NONE,P,P+,N,NEU,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute anger numeric
@attribute joy numeric
@attribute fear numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute word_number numeric
@attribute class {1,2,3,4,5}

@data
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.76417,0.045818,0.037904,0.122172,0.029937,69,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.395855,0.117387,0.041941,0.373445,0.071372,79,?
P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.149749,0.202693,0.0331,0.280938,0.33352,39,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.29611,0.059683,0.049979,0.106774,0.487454,912,?
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.517381,0.088737,0.052725,0.301531,0.039626,88,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.035371,0.39825,0.034587,0.074406,0.457385,146,?
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.312732,0.12418,0.213197,0.271345,0.078546,108,?
P+,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.087404,0.154982,0.090343,0.145633,0.521637,322,?
P,AGREEMENT,SUBJECTIVE,85,IRONIC,0.032375,0.558622,0.031135,0.081888,0.29598,103,?
P+,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.68831,0.07593,0.069716,0.12321,0.042834,111,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.153718,0.086834,0.12387,0.366799,0.268779,225,?
NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.515149,0.090095,0.087996,0.228506,0.078254,47,?
P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.04961,0.354667,0.085068,0.116609,0.394045,121,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.552291,0.109386,0.066074,0.206719,0.065528,90,?
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.179428,0.154071,0.348551,0.200504,0.117447,102,?
P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.034619,0.321262,0.023208,0.077678,0.543233,19,?
P+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.026821,0.49548,0.031953,0.076609,0.369138,61,?
P,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.112468,0.224143,0.030487,0.082786,0.550116,83,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.614386,0.074518,0.058763,0.229045,0.023288,173,?
P+,DISAGREEMENT,SUBJECTIVE,89,NONIRONIC,0.036729,0.26335,0.01341,0.053994,0.632518,245,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.119756,0.048124,0.048912,0.57688,0.206329,253,?
N,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.426763,0.131446,0.109417,0.298963,0.03341,153,?
N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.307454,0.253567,0.060731,0.343963,0.034285,171,?
P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.164469,0.352775,0.130457,0.209825,0.142474,367,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.10162,0.317644,0.118244,0.22627,0.236222,43,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.018372,0.425747,0.010582,0.040053,0.505246,165,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.440444,0.10069,0.088612,0.273879,0.096375,51,?
P,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.060791,0.620281,0.021458,0.162318,0.135152,197,?
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.517961,0.083086,0.023375,0.293056,0.082522,46,?
P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.065835,0.722021,0.037044,0.083045,0.092056,145,?
P,AGREEMENT,SUBJECTIVE,90,IRONIC,0.648455,0.058442,0.152063,0.127816,0.013224,68,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.10388,0.606851,0.078374,0.135351,0.075544,147,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.5419,0.036783,0.05983,0.252832,0.108656,85,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.456305,0.073525,0.050929,0.250455,0.168785,87,?
P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.360441,0.225904,0.102985,0.292006,0.018663,27,?
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.011859,0.187661,0.010243,0.012264,0.777973,149,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.113079,0.085605,0.48158,0.204435,0.115301,85,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.011329,0.535479,0.014273,0.068378,0.37054,525,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.325016,0.097261,0.090406,0.446723,0.040595,208,?
