@relation TestingWordCounter-weka.filters.unsupervised.attribute.Remove-R1

@attribute score_tag {NONE,P,P+,N,NEU,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute anger numeric
@attribute joy numeric
@attribute fear numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute word_number numeric
@attribute class {1,2,3,4,5}

@data
P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.506226,0.12343,0.087826,0.250975,0.031543,356,?
N,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.047694,0.490074,0.026936,0.244611,0.190685,113,?
N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.191844,0.048066,0.044834,0.170993,0.544263,188,?
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.721175,0.103341,0.072899,0.088712,0.013872,20,?
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.033654,0.310686,0.009126,0.043569,0.602965,102,?
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.103483,0.29493,0.035685,0.443266,0.122635,243,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.265452,0.105575,0.158533,0.402421,0.068018,56,?
N,AGREEMENT,SUBJECTIVE,90,IRONIC,0.061876,0.216423,0.012836,0.606043,0.102823,47,?
N,AGREEMENT,SUBJECTIVE,89,NONIRONIC,0.272912,0.107789,0.282608,0.143164,0.193526,252,?
P,AGREEMENT,SUBJECTIVE,90,IRONIC,0.58719,0.074199,0.099085,0.220455,0.019071,88,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.286559,0.044736,0.02585,0.494389,0.148466,50,?
P+,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.012693,0.619218,0.042637,0.075143,0.250309,236,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.142057,0.102198,0.108642,0.309095,0.338008,67,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.139269,0.345492,0.105406,0.248136,0.161696,107,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.256361,0.235729,0.021162,0.238825,0.247924,192,?
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.426036,0.068935,0.042051,0.404904,0.058074,45,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.571238,0.028003,0.028213,0.308933,0.063612,176,?
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.649312,0.046508,0.04293,0.125865,0.135385,74,?
NEU,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.8648,0.011039,0.00955,0.099613,0.014997,279,?
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.317397,0.322443,0.056746,0.27695,0.026464,46,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.009219,0.153517,0.004535,0.02095,0.811778,42,?
P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.246514,0.472066,0.035189,0.121763,0.124469,439,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.200579,0.158266,0.07897,0.456913,0.105272,187,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.406513,0.097988,0.116897,0.357539,0.021064,136,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.631479,0.064556,0.040293,0.245654,0.018018,127,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.367552,0.136894,0.054106,0.37906,0.062388,50,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.095814,0.25036,0.069257,0.140438,0.44413,68,?
P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.337093,0.077943,0.042475,0.388514,0.153975,108,?
P,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.101736,0.240388,0.055268,0.116441,0.486167,44,?
P,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.02503,0.64897,0.042956,0.024233,0.258811,63,?
P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.185524,0.535396,0.145582,0.107844,0.025655,82,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.824517,0.03319,0.018234,0.106598,0.017461,290,?
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.197674,0.36075,0.069282,0.266674,0.105619,55,?
NEU,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.262033,0.058699,0.15389,0.430892,0.094485,46,?
P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.229148,0.344156,0.067341,0.26109,0.098264,107,?
P+,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.064642,0.11352,0.045742,0.086519,0.689577,62,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.479571,0.033557,0.028923,0.41521,0.042738,83,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.451164,0.072158,0.075017,0.36768,0.03398,78,?
N,AGREEMENT,SUBJECTIVE,80,IRONIC,0.03957,0.142053,0.098942,0.259984,0.45945,177,?
NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.701263,0.057771,0.062192,0.143286,0.035487,417,?
N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.121923,0.193097,0.145281,0.203888,0.335811,29,?
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.199235,0.120701,0.165897,0.251785,0.262382,449,?
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.68905,0.014186,0.033313,0.258204,0.005247,67,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.408132,0.153524,0.055701,0.202078,0.180565,140,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.575547,0.127565,0.055336,0.215849,0.025703,61,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.401167,0.099734,0.063417,0.292346,0.143336,175,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.114403,0.265477,0.053917,0.12962,0.436582,54,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.149492,0.06483,0.021718,0.081323,0.682637,119,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.598244,0.081006,0.026407,0.21631,0.078032,107,?
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.466457,0.146135,0.048888,0.298123,0.040397,47,?
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.126546,0.034688,0.039936,0.398646,0.400183,137,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.561074,0.120184,0.089916,0.12864,0.100186,674,?
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.259337,0.047293,0.219029,0.406944,0.067397,248,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.770458,0.056479,0.020142,0.115776,0.037145,23,?
P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.114428,0.402733,0.053178,0.11439,0.315271,182,?
P+,AGREEMENT,SUBJECTIVE,82,IRONIC,0.159064,0.198118,0.058241,0.253688,0.33089,102,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.487535,0.07646,0.054846,0.298545,0.082614,74,?
P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.015739,0.249694,0.00491,0.059005,0.670652,95,?
P+,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.456919,0.158367,0.054158,0.306695,0.023861,98,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.266957,0.05316,0.015575,0.197293,0.467015,46,?
P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.305938,0.228928,0.073704,0.262706,0.128724,103,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.490095,0.120265,0.053533,0.233579,0.102527,83,?
N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.529603,0.047276,0.036269,0.201631,0.185221,54,?
P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.593137,0.103198,0.038155,0.090075,0.175435,81,?
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.641245,0.063713,0.028864,0.257619,0.008558,113,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.143349,0.279518,0.035315,0.355873,0.185944,234,?
N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.287527,0.134276,0.09777,0.265545,0.214882,190,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.270295,0.128367,0.099815,0.285061,0.216463,152,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.136392,0.095644,0.163906,0.5149,0.089159,243,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.177485,0.186836,0.038046,0.559246,0.038387,291,?
P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.027195,0.387449,0.059339,0.0697,0.456317,654,?
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.354515,0.102566,0.309793,0.20097,0.032155,127,?
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.464889,0.13162,0.043074,0.294354,0.066063,365,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.050623,0.232929,0.113542,0.060337,0.542569,34,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.004072,0.015644,0.001406,0.01393,0.964948,113,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.044826,0.353623,0.029016,0.091839,0.480696,140,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.473528,0.145356,0.135131,0.19135,0.054634,161,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.143854,0.169057,0.028077,0.338033,0.320979,92,?
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.577341,0.185927,0.028234,0.130344,0.078155,99,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.411275,0.087651,0.09171,0.355569,0.053795,30,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.273485,0.017784,0.052434,0.555287,0.101011,212,?
P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.478329,0.195672,0.038778,0.250143,0.037077,242,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.202351,0.079353,0.056333,0.480805,0.181158,182,?
P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.171286,0.453919,0.067945,0.19152,0.11533,94,?
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.18575,0.4915,0.02466,0.164897,0.133193,180,?
P,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.573275,0.078851,0.041276,0.297387,0.009211,144,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.084085,0.30107,0.112863,0.270165,0.231817,347,?
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.25369,0.517582,0.035474,0.157833,0.03542,82,?
P,AGREEMENT,SUBJECTIVE,90,IRONIC,0.120641,0.266264,0.041924,0.204625,0.366547,64,?
P+,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.572798,0.083498,0.108477,0.22022,0.015007,186,?
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.476458,0.079261,0.172031,0.249344,0.022907,16,?
NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.048282,0.198667,0.039432,0.201623,0.511996,82,?
P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.095511,0.085472,0.038875,0.282543,0.497599,31,?
NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.364876,0.231975,0.118135,0.268999,0.016015,61,?
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.298739,0.057171,0.111823,0.406291,0.125976,171,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.092851,0.062381,0.060223,0.100835,0.68371,283,?
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.357212,0.12021,0.058826,0.339013,0.124738,68,?
N,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.240875,0.147912,0.012275,0.197942,0.400995,147,?
P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.259402,0.137441,0.085915,0.342371,0.17487,62,?
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.236047,0.269607,0.104513,0.34212,0.047713,164,?
N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.385933,0.284836,0.067549,0.232767,0.028914,55,?
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.567034,0.228445,0.093424,0.101318,0.009779,78,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.743538,0.011629,0.084511,0.155816,0.004506,32,?
P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.113855,0.480258,0.10091,0.283843,0.021134,988,?
N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.215306,0.154194,0.072986,0.48249,0.075024,140,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.517407,0.059126,0.231192,0.104305,0.087969,105,?
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.152232,0.127917,0.04532,0.344198,0.330333,52,?
P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.211572,0.30883,0.044646,0.410218,0.024734,133,?
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.5479,0.144353,0.132488,0.144725,0.030534,53,?
P,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.561283,0.093534,0.064273,0.202493,0.078418,138,?
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.517311,0.145239,0.038256,0.28104,0.018153,124,?
P+,AGREEMENT,SUBJECTIVE,90,IRONIC,0.460837,0.278309,0.054731,0.180739,0.025384,76,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.32788,0.163171,0.069006,0.41554,0.024403,51,?
P+,AGREEMENT,SUBJECTIVE,77,IRONIC,0.37424,0.151128,0.04465,0.283835,0.146148,176,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.396806,0.11461,0.039106,0.349761,0.099717,72,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.792665,0.010143,0.016121,0.1371,0.04397,56,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.042461,0.717994,0.071466,0.071716,0.096363,69,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.679123,0.035336,0.049456,0.17494,0.061144,99,?
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.628892,0.061773,0.045202,0.194465,0.069667,43,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.073689,0.46721,0.047814,0.136541,0.274746,181,?
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.717911,0.031794,0.065411,0.166015,0.018868,27,?
N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.259477,0.029538,0.049483,0.528997,0.132505,164,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.025733,0.649119,0.029616,0.079011,0.21652,150,?
P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.023946,0.683906,0.062644,0.076764,0.15274,106,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.109037,0.150219,0.021497,0.350093,0.369154,109,?
P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.036123,0.541912,0.037165,0.104508,0.280292,83,?
P,AGREEMENT,SUBJECTIVE,82,IRONIC,0.748463,0.046819,0.021326,0.156556,0.026836,266,?
P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.693133,0.074672,0.089048,0.140405,0.002743,166,?
P+,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.073391,0.648427,0.021684,0.118714,0.137784,17,?
P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.001199,0.016937,0.000632,0.001913,0.979319,40,?
P+,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.006698,0.421365,0.005541,0.031118,0.535278,68,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.174209,0.175352,0.130576,0.375955,0.143907,22,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.007845,0.017095,0.00142,0.020303,0.953336,109,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.431796,0.103447,0.093884,0.284518,0.086354,33,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.03808,0.153701,0.017396,0.074438,0.716385,319,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.446108,0.21777,0.034169,0.250179,0.051773,128,?
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.105027,0.111353,0.075449,0.502339,0.205833,38,?
P,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.02112,0.235547,0.02596,0.031641,0.685733,62,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.037378,0.229911,0.140212,0.133831,0.458668,78,?
N,AGREEMENT,SUBJECTIVE,90,IRONIC,0.31561,0.038795,0.073584,0.253847,0.318164,287,?
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.628188,0.040976,0.035269,0.274131,0.021436,176,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.491281,0.067056,0.054888,0.32263,0.064145,49,?
P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.06474,0.470058,0.037197,0.162248,0.265757,144,?
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.692891,0.029624,0.041589,0.221914,0.013981,118,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.174154,0.09229,0.108605,0.411622,0.213329,53,?
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.392746,0.150492,0.069687,0.294473,0.092602,73,?
NEU,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.4169,0.10602,0.227228,0.231119,0.018732,123,?
P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.067638,0.19659,0.025075,0.093523,0.617174,139,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.457016,0.139581,0.064162,0.315265,0.023976,66,?
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.101175,0.198769,0.055631,0.500829,0.143596,97,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.240938,0.164478,0.026185,0.490574,0.077825,75,?
P,DISAGREEMENT,OBJECTIVE,84,NONIRONIC,0.417597,0.197426,0.110288,0.24015,0.03454,73,?
P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.025139,0.216602,0.013233,0.040142,0.704885,23,?
P,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.34806,0.209506,0.012859,0.076484,0.353091,16,?
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.078266,0.168657,0.127212,0.579216,0.046649,187,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.430805,0.11725,0.123099,0.274101,0.054746,42,?
N,AGREEMENT,SUBJECTIVE,90,IRONIC,0.130469,0.307714,0.247806,0.258591,0.05542,51,?
P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.097108,0.52981,0.212492,0.08379,0.076801,126,?
N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.708824,0.039218,0.051651,0.157266,0.043041,104,?
P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.063414,0.064065,0.035788,0.102564,0.73417,176,?
P,DISAGREEMENT,SUBJECTIVE,79,IRONIC,0.562796,0.094883,0.069637,0.209812,0.062872,26,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.036868,0.446637,0.038451,0.11067,0.367375,74,?
P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.552462,0.108402,0.05079,0.217371,0.070976,109,?
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.431885,0.08723,0.073544,0.296377,0.110964,37,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1139,0.323288,0.431448,0.116676,0.014688,45,?
P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.018111,0.525573,0.014454,0.067848,0.374015,44,?
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.477153,0.048493,0.056566,0.410209,0.007579,118,?
NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.135593,0.314634,0.086259,0.276331,0.187183,100,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.447109,0.116025,0.161376,0.226927,0.048563,21,?
P,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.001382,0.166123,0.003205,0.002483,0.826807,260,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.247653,0.108008,0.165321,0.398694,0.080324,32,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.155427,0.248607,0.022858,0.358088,0.21502,55,?
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.801314,0.002832,0.031425,0.156047,0.008382,199,?
NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.162296,0.184528,0.131835,0.432283,0.089059,51,?
P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.261694,0.432733,0.045839,0.201111,0.058624,179,?
N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.50706,0.041405,0.04449,0.187919,0.219127,64,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.499031,0.243766,0.050418,0.157306,0.049479,200,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.65314,0.044906,0.040811,0.138996,0.122146,105,?
P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.073793,0.23728,0.045302,0.097396,0.546229,197,?
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.485488,0.032721,0.241986,0.191601,0.048204,130,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.278581,0.222154,0.228744,0.257366,0.013155,236,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.328596,0.105215,0.163852,0.373825,0.028512,27,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.007619,0.338435,0.010447,0.05213,0.591369,69,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.110131,0.3985,0.060043,0.327633,0.103693,72,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.058152,0.29264,0.099817,0.159562,0.389828,170,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.481244,0.100236,0.150495,0.221623,0.046402,17,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.001835,0.039532,0.001415,0.005503,0.951715,37,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.207128,0.138993,0.049688,0.312605,0.291586,120,?
N,AGREEMENT,SUBJECTIVE,82,IRONIC,0.479227,0.114053,0.145714,0.120626,0.140379,58,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.212052,0.270333,0.045911,0.37519,0.096514,218,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.612647,0.044779,0.060295,0.216053,0.066226,217,?
NEU,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.271689,0.428255,0.097003,0.167056,0.035996,115,?
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.742738,0.046092,0.045167,0.154349,0.011654,127,?
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.279397,0.168008,0.127052,0.366411,0.059132,44,?
P+,DISAGREEMENT,SUBJECTIVE,90,NONIRONIC,0.029498,0.651878,0.012852,0.097295,0.208477,228,?
N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.041173,0.054011,0.051094,0.094407,0.759316,41,?
P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.130278,0.366024,0.032399,0.182106,0.289193,73,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.675565,0.060433,0.098398,0.107144,0.05846,130,?
P,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.413186,0.210478,0.057678,0.264975,0.053683,32,?
NEU,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.771441,0.011769,0.015411,0.162797,0.038582,78,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.567708,0.022297,0.023225,0.151073,0.235697,237,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.66891,0.064958,0.034591,0.176153,0.055388,40,?
P,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.018732,0.29802,0.01673,0.04486,0.621659,246,?
P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.393006,0.231457,0.114597,0.229116,0.031824,164,?
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.204273,0.157303,0.089254,0.413132,0.136038,60,?
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.01568,0.149022,0.031551,0.033867,0.769879,235,?
P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.554346,0.11941,0.090692,0.226203,0.009349,74,?
NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.536409,0.056979,0.03422,0.320186,0.052206,47,?
NEU,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.539549,0.058613,0.054537,0.246022,0.10128,53,?
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.252741,0.090294,0.239245,0.354915,0.062805,61,?
P+,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.378183,0.142768,0.165324,0.282985,0.030739,41,?
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.27808,0.15233,0.111487,0.366509,0.091593,136,?
P+,AGREEMENT,SUBJECTIVE,90,IRONIC,0.599764,0.139273,0.057752,0.134292,0.068918,100,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.289987,0.124388,0.101024,0.338389,0.146212,57,?
P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.050634,0.560885,0.056511,0.089457,0.242513,43,?
N+,AGREEMENT,SUBJECTIVE,88,IRONIC,0.167495,0.104018,0.067635,0.508357,0.152495,184,?
P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.469917,0.135583,0.072635,0.20633,0.115534,79,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.176229,0.095769,0.048736,0.213091,0.466175,28,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.049446,0.123671,0.714683,0.085553,0.026648,82,?
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.493895,0.117891,0.082015,0.154423,0.151776,69,?
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.683424,0.01642,0.050419,0.183579,0.066157,118,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.111142,0.455472,0.089015,0.208717,0.135653,106,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.032565,0.829613,0.019278,0.052045,0.066499,391,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.560499,0.078916,0.179155,0.111365,0.070064,370,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.454521,0.219846,0.067305,0.209955,0.048372,190,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.144196,0.468099,0.091012,0.202448,0.094246,330,?
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.525487,0.030127,0.081859,0.336457,0.02607,110,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.41048,0.111233,0.053294,0.385749,0.039244,162,?
N,AGREEMENT,SUBJECTIVE,82,IRONIC,0.150929,0.053921,0.023939,0.137563,0.633649,93,?
