1501,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1829986572265625,0.19901368021965027,0.26213398575782776,0.15824156999588013,0.19761213660240173,word_number,
1502,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.3676927089691162,0.12100810557603836,0.07262902706861496,0.31227806210517883,0.12639211118221283,0,
1503,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.8029364347457886,0.02614981308579445,0.03264889493584633,0.13311004638671875,0.005154787562787533,0,
1504,NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.6466151475906372,0.04204113036394119,0.034603193402290344,0.21042996644973755,0.06631054729223251,0,
1505,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.4042692184448242,0.10660895705223083,0.06454436480998993,0.40291547775268555,0.02166198566555977,0,
1506,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.702373743057251,0.04510171338915825,0.018222849816083908,0.22307708859443665,0.011224590241909027,0,
1507,N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.6141576766967773,0.03780708834528923,0.15102291107177734,0.19437240064144135,0.0026398510672152042,2,
1508,N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.5734498500823975,0.025746352970600128,0.05605323985219002,0.3065202236175537,0.03823035955429077,0,
1509,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.6676753759384155,0.022916492074728012,0.04852551221847534,0.24185237288475037,0.019030289724469185,0,
1510,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.11285468190908432,0.05169108510017395,0.034949418157339096,0.3130512237548828,0.4874535799026489,0,
1511,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.6205767393112183,0.04258512705564499,0.08373109996318817,0.24947848916053772,0.0036285454407334328,0,
1512,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.6914177536964417,0.02351367473602295,0.043499067425727844,0.19702157378196716,0.04454798996448517,1,
1513,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.6324076652526855,0.04180961474776268,0.0676175132393837,0.18978933990001678,0.06837587058544159,3,
1514,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.27289125323295593,0.08444494009017944,0.08855614066123962,0.5265308618545532,0.027576763182878494,3,
1515,P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.8463624119758606,0.0015677453484386206,0.012173730880022049,0.13477297127246857,0.005123132839798927,0,
1516,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.2956835627555847,0.07913742959499359,0.10969516634941101,0.5066533088684082,0.008830622769892216,1,
1517,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.6065627932548523,0.047456592321395874,0.06163986772298813,0.26284676790237427,0.02149399369955063,1,
1518,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.5333001613616943,0.047865308821201324,0.02080204151570797,0.14308837056159973,0.2549440562725067,0,
1519,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.711521327495575,0.044587958604097366,0.028469374403357506,0.2088850885629654,0.00653625326231122,1,
1520,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.5709074139595032,0.02918420359492302,0.05491333827376366,0.3374760150909424,0.007519006263464689,0,
1521,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.6941384077072144,0.017061231657862663,0.054520294070243835,0.22385504841804504,0.010425003245472908,0,
1522,NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.8029235601425171,0.015524713322520256,0.02835133485496044,0.13196013867855072,0.02124028652906418,4,
1523,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.530593752861023,0.07621084153652191,0.14292006194591522,0.19691653549671173,0.05335879698395729,2,
1524,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.7016186118125916,0.0074385348707437515,0.032107532024383545,0.2513410151004791,0.007494361139833927,3,
1525,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.3979185223579407,0.0306395310908556,0.14926129579544067,0.40003567934036255,0.02214503288269043,1,
1526,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.7415403723716736,0.04215402901172638,0.07613128423690796,0.13591556251049042,0.004258748609572649,0,
1527,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.7125322818756104,0.009276403114199638,0.0776028037071228,0.1941237896680832,0.00646477285772562,0,
1528,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.21177983283996582,0.1818278729915619,0.08577749133110046,0.49155712127685547,0.029057670384645462,2,
1529,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.6015301942825317,0.08550731837749481,0.09420626610517502,0.20011675357818604,0.018639445304870605,0,
1530,P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.7138012647628784,0.03827349841594696,0.02085462212562561,0.16091039776802063,0.06616013497114182,0,
1531,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.5909997224807739,0.03463408723473549,0.029501114040613174,0.319264680147171,0.025600410997867584,0,
1532,N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.38835692405700684,0.04019148647785187,0.06072837859392166,0.4693809747695923,0.04134224355220795,0,
1533,N,AGREEMENT,SUBJECTIVE,90,IRONIC,0.4256749153137207,0.03829185664653778,0.0622716099023819,0.4544116258621216,0.01934998854994774,1,
1534,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.3907131552696228,0.10812966525554657,0.17270369827747345,0.30320560932159424,0.025247830897569656,0,
