@relation Training

@attribute id numeric
@attribute score_tag {NONE,P,NEU,N,P+,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute anger numeric
@attribute joy numeric
@attribute fear numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute noAlphanumerics numeric
@attribute negation_words numeric
@attribute word_number numeric
@attribute misspelled numeric
@attribute extraversion numeric
@attribute openness numeric
@attribute agreeableness numeric
@attribute conscientiousness numeric
@attribute class {1,2,3,4,5}

@data
467,N,AGREEMENT,SUBJECTIVE,82,IRONIC,0.667204,0.036803,0.136405,0.15365,0.005937,178,22,175,22,0.337188,0.560636,0.319195,0.549816,2
468,N,AGREEMENT,SUBJECTIVE,97,NONIRONIC,0.463097,0.05565,0.090374,0.327416,0.063462,64,0,61,9,0.43096,0.505247,0.38518,0.534932,2
469,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.572785,0.097853,0.064698,0.223842,0.040822,151,0,149,0,0.454593,0.501419,0.438522,0.517866,2
470,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.701165,0.038407,0.043771,0.206126,0.01053,50,11,48,2,0.640889,0.660089,0.364064,0.449717,2
471,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.485373,0.020335,0.394517,0.088771,0.011004,117,11,115,2,0.528277,0.481596,0.472114,0.522177,2
472,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.288534,0.065415,0.103073,0.429515,0.113464,57,22,52,2,0.498297,0.460077,0.502313,0.478034,2
473,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.458845,0.039469,0.12857,0.359847,0.013268,123,22,120,0,0.477777,0.506352,0.374598,0.488386,2
474,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.554717,0.08077,0.078685,0.236797,0.04903,28,0,27,0,0.375386,0.478924,0.418701,0.540975,2
475,N,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.647898,0.076203,0.047822,0.206763,0.021315,385,22,366,16,0.342426,0.502776,0.298978,0.551041,2
476,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.573801,0.045421,0.122762,0.201101,0.056914,103,11,99,1,0.460838,0.491761,0.384026,0.548659,2
477,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.761927,0.034622,0.028339,0.143119,0.031992,198,44,193,2,0.586518,0.573929,0.480063,0.43644,2
478,P,AGREEMENT,SUBJECTIVE,90,IRONIC,0.551338,0.074391,0.078792,0.258819,0.03666,96,0,94,3,0.605738,0.484114,0.456727,0.48445,2
479,P,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.157954,0.44837,0.153976,0.157317,0.082383,24,0,23,3,0.563803,0.455023,0.467324,0.533715,2
480,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.518992,0.035567,0.097768,0.156151,0.191523,204,44,198,3,0.36312,0.532526,0.383226,0.529847,2
481,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.501894,0.074414,0.071381,0.275026,0.077285,231,0,229,5,0.454672,0.600967,0.451951,0.514672,2
482,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.624976,0.029307,0.058714,0.273138,0.013865,193,0,189,5,0.499811,0.465387,0.499126,0.505816,2
483,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.342568,0.0515,0.044327,0.512009,0.049596,224,0,203,3,0.500819,0.517766,0.471253,0.522834,2
484,NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.478559,0.135208,0.118395,0.254248,0.01359,36,11,34,3,0.42071,0.55529,0.333719,0.505,2
485,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.683783,0.042462,0.04565,0.221585,0.00652,85,22,81,2,0.510088,0.496024,0.489175,0.482126,2
486,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.680392,0.022787,0.081051,0.198974,0.016796,227,22,215,5,0.509785,0.497954,0.454032,0.498823,2
487,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.320706,0.062717,0.177088,0.408738,0.030752,101,11,99,5,0.458457,0.454461,0.384366,0.519553,2
488,N,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.228072,0.072514,0.043569,0.44829,0.207555,68,22,64,1,0.577842,0.558615,0.503963,0.464348,2
489,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.609238,0.032517,0.055476,0.298799,0.00397,164,44,154,4,0.44364,0.444974,0.352846,0.540732,2
490,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.550289,0.050632,0.130206,0.246154,0.022719,119,11,113,3,0.455216,0.457681,0.369228,0.549268,2
491,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.498088,0.102448,0.087615,0.193501,0.118347,114,0,113,3,0.378698,0.50895,0.409477,0.53798,2
492,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.286472,0.308526,0.055432,0.257231,0.092339,172,11,166,5,0.526131,0.471747,0.484716,0.506244,2
493,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.422406,0.204708,0.068215,0.19767,0.107002,30,0,29,1,0.500419,0.494985,0.549626,0.512944,2
494,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.140228,0.115992,0.032374,0.57205,0.139355,106,22,99,4,0.443144,0.514654,0.470686,0.497424,2
495,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.431078,0.049688,0.113394,0.369248,0.036592,117,33,113,2,0.491766,0.457322,0.443599,0.552376,2
496,N+,AGREEMENT,SUBJECTIVE,90,IRONIC,0.286044,0.149698,0.111351,0.431837,0.021071,59,0,55,0,0.436907,0.484282,0.416777,0.520244,2
497,P+,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.501184,0.140009,0.05394,0.260156,0.044712,170,44,162,1,0.501471,0.590335,0.418197,0.501872,2
498,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.392007,0.047808,0.093415,0.338335,0.128436,58,22,55,2,0.485187,0.478734,0.461238,0.531574,2
499,N,AGREEMENT,SUBJECTIVE,88,NONIRONIC,0.40987,0.124966,0.069648,0.328873,0.066643,66,0,65,1,0.582596,0.484963,0.437151,0.515946,2
500,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.451005,0.071761,0.166288,0.214656,0.09629,91,44,86,1,0.582142,0.58609,0.435725,0.476565,2
501,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.387569,0.075171,0.139495,0.345517,0.052247,79,0,77,2,0.510751,0.559509,0.491598,0.492821,2
502,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.643515,0.014787,0.031639,0.302601,0.007459,122,0,118,3,0.487958,0.514178,0.399821,0.495824,2
503,N,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.569125,0.053892,0.048291,0.300293,0.028399,19,11,17,1,0.439678,0.479113,0.425442,0.517994,2
504,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.068861,0.441256,0.043226,0.160166,0.286491,140,11,136,2,0.495694,0.540176,0.505413,0.478792,2
505,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.396153,0.042647,0.109198,0.400438,0.051563,171,22,155,2,0.461906,0.630375,0.355998,0.514882,2
506,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.30248,0.130572,0.054934,0.271939,0.240074,92,11,90,3,0.38759,0.618167,0.460119,0.532433,2
507,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.60296,0.043921,0.07326,0.263226,0.016633,107,22,103,1,0.50953,0.486143,0.484247,0.502626,2
508,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.388875,0.050858,0.128175,0.376811,0.055281,111,0,75,0,0.527516,0.544293,0.447063,0.476388,2
509,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.522602,0.176367,0.040772,0.171949,0.08831,112,0,111,6,0.568871,0.575313,0.503662,0.423218,2
510,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.316784,0.058264,0.199084,0.403046,0.022822,97,0,95,1,0.576853,0.433045,0.551052,0.495119,2
511,P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.094902,0.499857,0.021854,0.142702,0.240685,53,22,50,2,0.54349,0.553305,0.444906,0.45292,2
512,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.414645,0.033167,0.038879,0.472219,0.04109,92,0,89,2,0.420645,0.502683,0.42618,0.503006,2
513,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.458326,0.193953,0.03887,0.280858,0.027993,292,55,285,6,0.486696,0.483843,0.374389,0.528821,2
514,NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.384871,0.091746,0.329085,0.15488,0.039417,64,0,63,1,0.464328,0.584131,0.393164,0.516514,2
515,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.452126,0.045054,0.037471,0.373136,0.092213,65,11,63,0,0.4911,0.512252,0.478831,0.508436,2
516,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.718324,0.017324,0.019738,0.238012,0.006602,58,22,54,0,0.51155,0.486873,0.463872,0.479604,2
517,P,DISAGREEMENT,SUBJECTIVE,90,NONIRONIC,0.323765,0.065839,0.089881,0.484838,0.035676,97,0,96,4,0.633913,0.488559,0.506006,0.482186,2
518,P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.569644,0.063899,0.123201,0.210775,0.032481,87,0,86,2,0.475519,0.444248,0.460995,0.529182,2
519,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.462768,0.05974,0.098576,0.302715,0.076202,111,0,108,0,0.55776,0.506235,0.500831,0.470778,2
520,NEU,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.615021,0.098353,0.060943,0.179166,0.046517,166,55,159,2,0.429962,0.512434,0.41738,0.50692,2
521,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.541919,0.050594,0.181786,0.211169,0.014532,214,33,209,10,0.436093,0.52321,0.370666,0.571948,2
522,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.220812,0.107388,0.129202,0.44192,0.100677,145,0,140,6,0.511115,0.475394,0.434823,0.523636,2
523,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.220691,0.454458,0.104912,0.199556,0.020382,96,0,95,2,0.413238,0.537434,0.492306,0.54259,2
524,N+,AGREEMENT,SUBJECTIVE,82,IRONIC,0.448967,0.045481,0.05588,0.394544,0.055128,282,22,278,4,0.495007,0.499985,0.463521,0.52843,2
525,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.654026,0.044427,0.036129,0.215574,0.049844,122,11,118,2,0.447848,0.423415,0.516888,0.590217,2
526,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.316549,0.114464,0.078633,0.451729,0.038625,169,33,163,1,0.514524,0.571446,0.439468,0.47665,2
527,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.586801,0.03856,0.077306,0.256696,0.040636,104,11,101,2,0.525382,0.505071,0.456424,0.525467,2
528,N,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.616446,0.013843,0.036976,0.312685,0.020049,68,22,64,1,0.454727,0.445606,0.394057,0.551866,2
529,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.484578,0.033971,0.063065,0.376503,0.041884,173,0,168,6,0.439171,0.609356,0.42204,0.488255,2
530,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.176622,0.126893,0.045929,0.63536,0.015195,398,33,384,18,0.441961,0.565153,0.392018,0.524655,2
531,N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.681484,0.026672,0.046761,0.240184,0.004899,84,0,83,4,0.473869,0.557275,0.48703,0.500608,2
532,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.497689,0.058874,0.051549,0.35044,0.041447,71,0,66,0,0.460117,0.689294,0.370409,0.474582,2
533,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.447993,0.053899,0.064861,0.418845,0.014402,145,33,141,6,0.480985,0.521289,0.408804,0.510586,2
534,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.67939,0.053969,0.047375,0.203915,0.015351,130,0,122,5,0.519897,0.474255,0.410057,0.53014,2
535,NEU,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.637834,0.071639,0.068978,0.212245,0.009304,144,55,134,6,0.479099,0.47534,0.379754,0.501663,2
536,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.521051,0.041152,0.102147,0.295432,0.040218,85,0,81,2,0.47733,0.441804,0.355573,0.548159,2
537,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.292525,0.422373,0.041866,0.231874,0.011361,82,0,80,1,0.532998,0.499819,0.441029,0.489774,2
538,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.405796,0.183813,0.206108,0.178566,0.025717,96,33,92,1,0.417943,0.498654,0.478921,0.554696,2
539,P+,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.300853,0.065415,0.050455,0.453871,0.129405,64,0,63,0,0.492283,0.50787,0.39163,0.526089,2
540,N,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.487238,0.047072,0.066593,0.360394,0.038702,98,22,95,2,0.485985,0.494794,0.369131,0.496179,2
541,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.334118,0.123208,0.077648,0.355323,0.109703,36,11,34,1,0.577392,0.492372,0.321062,0.531818,2
542,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.648675,0.00552,0.024823,0.23311,0.087871,88,0,87,2,0.541178,0.505672,0.447292,0.478094,2
543,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.270154,0.030271,0.042752,0.590137,0.066687,83,0,82,1,0.378018,0.690783,0.318376,0.50031,2
544,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.53231,0.062615,0.091547,0.284432,0.029096,483,0,314,3,0.516848,0.465045,0.388513,0.535962,2
545,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.207144,0.127817,0.027196,0.160073,0.47777,58,0,57,2,0.466761,0.536284,0.425893,0.527588,2
546,P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.143597,0.195376,0.078656,0.151192,0.43118,108,11,106,1,0.461839,0.566453,0.430718,0.509344,2
547,N,DISAGREEMENT,SUBJECTIVE,89,NONIRONIC,0.511509,0.046212,0.128514,0.245502,0.068262,117,11,113,1,0.532437,0.51214,0.521567,0.526693,2
548,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.49885,0.070728,0.18098,0.231518,0.017924,44,0,43,0,0.498518,0.513133,0.562882,0.518055,2
549,NEU,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.589442,0.030635,0.046686,0.134174,0.199063,60,22,57,2,0.535835,0.444291,0.39509,0.483277,2
550,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.609889,0.049914,0.06099,0.268363,0.010844,166,22,162,2,0.450627,0.613685,0.408548,0.501015,2
551,P+,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.536661,0.059189,0.043552,0.251881,0.108718,158,22,155,12,0.39724,0.539926,0.320216,0.544265,2
552,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.261218,0.291897,0.071756,0.333993,0.041136,77,11,73,1,0.413662,0.52017,0.354647,0.55246,2
553,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.751116,0.025922,0.049141,0.161555,0.012267,106,22,103,0,0.455897,0.489308,0.366825,0.51111,2
554,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.147179,0.030491,0.445895,0.356898,0.019537,55,0,53,4,0.509306,0.440506,0.586457,0.525259,2
555,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.312567,0.019441,0.064299,0.548493,0.0552,92,0,91,2,0.541247,0.512496,0.504886,0.483201,2
556,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.75403,0.01988,0.02869,0.154325,0.043074,46,0,45,2,0.50474,0.54325,0.40128,0.512736,2
557,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.123247,0.249177,0.029083,0.250633,0.347861,129,11,123,2,0.485772,0.493953,0.436692,0.535134,2
558,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.680875,0.050886,0.119229,0.138921,0.01009,66,11,62,1,0.335762,0.635291,0.303744,0.591584,2
559,P+,AGREEMENT,SUBJECTIVE,89,NONIRONIC,0.384413,0.024701,0.058641,0.476023,0.056222,76,22,71,1,0.419676,0.504782,0.407796,0.533017,2
560,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.44272,0.027077,0.022974,0.485075,0.022154,76,0,75,2,0.53711,0.451003,0.451568,0.510291,2
561,P,AGREEMENT,SUBJECTIVE,90,IRONIC,0.598827,0.025523,0.051593,0.204973,0.119083,132,0,131,4,0.49981,0.468787,0.502408,0.514181,2
562,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.397466,0.068677,0.10081,0.387559,0.045488,112,22,109,0,0.581409,0.442652,0.45943,0.483121,2
563,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.45076,0.013431,0.084503,0.439242,0.012064,99,55,93,4,0.467304,0.492949,0.489834,0.508812,2
564,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.289675,0.210624,0.057012,0.337411,0.105279,104,0,101,3,0.514447,0.469125,0.47813,0.508244,2
565,N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.539277,0.057216,0.026705,0.193002,0.1838,57,0,51,3,0.582389,0.481417,0.487289,0.502203,2
566,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.91091,0.002106,0.009384,0.076313,0.001287,111,11,109,0,0.423531,0.650212,0.357403,0.482884,2
567,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.652033,0.014098,0.075679,0.189884,0.068305,146,0,145,4,0.428517,0.49016,0.414005,0.542705,2
568,P,AGREEMENT,SUBJECTIVE,82,IRONIC,0.456795,0.167121,0.047107,0.283654,0.045322,94,33,90,1,0.586096,0.550522,0.442181,0.499839,2
569,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.686039,0.060761,0.045454,0.200037,0.007709,99,11,97,4,0.412115,0.480484,0.532203,0.513796,2
570,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.814179,0.009898,0.033304,0.113783,0.028836,250,66,241,1,0.571522,0.510249,0.494297,0.441509,2
571,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.231142,0.055102,0.085623,0.594834,0.033299,108,11,106,7,0.525028,0.533229,0.363395,0.512803,2
572,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.257337,0.112717,0.086819,0.438819,0.104308,122,0,120,0,0.509128,0.489538,0.48123,0.484744,2
573,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.678505,0.046011,0.046266,0.154353,0.074866,233,44,227,2,0.603076,0.535196,0.47898,0.48399,2
574,N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.767468,0.030246,0.024997,0.157035,0.020254,85,11,82,3,0.405788,0.536301,0.427634,0.500602,2
575,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.679354,0.037078,0.069163,0.189093,0.025312,23,0,22,0,0.528081,0.460915,0.516748,0.526886,2
576,N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.792846,0.047359,0.018976,0.116584,0.024236,78,0,76,0,0.509641,0.629149,0.419171,0.454054,2
577,P,AGREEMENT,SUBJECTIVE,89,NONIRONIC,0.344982,0.089569,0.038921,0.437414,0.089113,62,0,61,0,0.543108,0.55254,0.468207,0.498621,2
578,NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.334746,0.106716,0.167926,0.362623,0.027988,124,22,121,1,0.566386,0.505575,0.486195,0.471108,2
579,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.574272,0.026175,0.166286,0.211311,0.021956,38,0,37,1,0.574867,0.507482,0.506498,0.474521,2
580,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.791024,0.003806,0.009027,0.189706,0.006437,56,0,55,3,0.494609,0.380435,0.450696,0.543215,2
581,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.926432,0.001532,0.008152,0.056852,0.007032,71,0,69,1,0.453188,0.523553,0.458246,0.507966,2
582,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.350606,0.013895,0.015024,0.358401,0.262075,158,55,150,4,0.514684,0.447403,0.550196,0.517582,2
583,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.716234,0.015857,0.039108,0.218022,0.010779,115,22,108,9,0.526403,0.498386,0.470446,0.500086,2
584,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.634233,0.040328,0.039847,0.269909,0.015682,228,11,226,2,0.579916,0.491015,0.642901,0.509113,2
585,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.155121,0.04734,0.068842,0.631705,0.096992,87,0,85,1,0.570852,0.494319,0.529095,0.547804,2
586,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.315067,0.092334,0.092303,0.462635,0.037661,105,44,100,1,0.561029,0.470855,0.525767,0.526143,2
587,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.373774,0.060402,0.098416,0.460074,0.007335,215,0,213,5,0.564981,0.529822,0.408612,0.497427,2
588,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.385179,0.163198,0.072179,0.367577,0.011867,167,11,164,4,0.631227,0.49186,0.397369,0.47473,2
589,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.235979,0.33992,0.0556,0.336637,0.031863,149,33,145,0,0.514001,0.459654,0.431936,0.543578,2
590,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.196999,0.090723,0.102232,0.550921,0.059125,79,0,78,3,0.542089,0.51288,0.595542,0.470144,2
591,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.806463,0.017615,0.049172,0.119294,0.007457,83,11,80,2,0.391033,0.672352,0.295449,0.510153,2
592,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.478334,0.156355,0.12084,0.225296,0.019174,106,11,103,3,0.48058,0.520389,0.321786,0.540214,2
593,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.620475,0.075805,0.056613,0.157589,0.089519,199,11,193,8,0.463746,0.471266,0.43687,0.531434,2
594,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.728222,0.069096,0.04211,0.129813,0.030759,140,88,129,1,0.40756,0.479243,0.395086,0.553658,2
595,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.495,0.046967,0.102771,0.324373,0.030889,147,0,146,2,0.584694,0.514701,0.437318,0.49255,2
596,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.286463,0.208926,0.052635,0.419047,0.032929,135,0,133,4,0.508923,0.479662,0.488729,0.52958,2
597,N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.25144,0.375881,0.067257,0.205041,0.100381,159,11,149,1,0.536471,0.584257,0.423379,0.481227,2
598,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.507238,0.121181,0.047041,0.269546,0.054994,165,0,155,8,0.480193,0.538308,0.48882,0.499973,2
599,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.489723,0.03252,0.106435,0.355788,0.015533,202,11,189,3,0.499572,0.57623,0.492179,0.516414,2
600,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.667381,0.063499,0.09652,0.14627,0.026331,98,0,97,3,0.523586,0.533249,0.417427,0.531854,2
601,P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.793752,0.012271,0.034441,0.156566,0.00297,125,0,104,1,0.588232,0.416723,0.455268,0.502915,2
602,P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.553296,0.068556,0.061415,0.226947,0.089785,131,11,129,2,0.540519,0.519949,0.428304,0.523778,2
603,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.357918,0.068054,0.048594,0.510109,0.015325,119,0,115,6,0.549874,0.503831,0.519176,0.493622,2
604,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.553958,0.046253,0.124998,0.262347,0.012444,78,22,72,1,0.529166,0.453497,0.452854,0.534476,2
605,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.368185,0.056208,0.066768,0.476618,0.032221,70,0,67,0,0.44959,0.487787,0.354889,0.547654,2
606,N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.682031,0.066146,0.039104,0.180639,0.032078,129,11,127,1,0.440221,0.70681,0.252642,0.506872,2
607,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.78325,0.005506,0.018909,0.159904,0.032431,123,0,122,2,0.430121,0.581745,0.338,0.515619,2
608,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.521402,0.068266,0.09116,0.251176,0.067996,96,22,92,0,0.505123,0.461476,0.495377,0.527527,2
609,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.475276,0.090006,0.161405,0.233972,0.039341,104,0,101,3,0.419816,0.50365,0.401948,0.524928,2
610,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.600098,0.031824,0.0604,0.268587,0.039092,133,0,131,1,0.453894,0.493442,0.409205,0.542334,2
611,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.647816,0.022296,0.164652,0.160895,0.004341,74,11,72,1,0.495719,0.468045,0.437874,0.503858,2
612,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.575604,0.034393,0.044039,0.317944,0.02802,226,55,216,3,0.411629,0.518305,0.380633,0.505614,2
613,P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.513871,0.049691,0.078864,0.24815,0.109423,76,0,75,3,0.414649,0.529197,0.371314,0.537185,2
614,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.407819,0.025298,0.354562,0.177309,0.035012,434,55,426,15,0.655251,0.400048,0.533107,0.448844,2
615,P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.519617,0.111053,0.080572,0.253168,0.035591,54,0,50,3,0.522246,0.503923,0.418531,0.508265,2
616,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.530448,0.229679,0.060233,0.151727,0.027914,113,11,107,1,0.504858,0.490304,0.567114,0.533684,2
617,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.790817,0.029519,0.031018,0.142223,0.006423,165,44,156,5,0.477344,0.5403,0.461084,0.502984,2
618,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.682572,0.016887,0.054493,0.237574,0.008473,415,88,403,8,0.398813,0.572632,0.358001,0.557881,2
619,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.505488,0.062076,0.102921,0.262126,0.06739,572,0,339,14,0.420064,0.536848,0.450281,0.551795,2
620,NEU,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.38707,0.043507,0.07884,0.317262,0.173321,76,33,72,3,0.453985,0.555137,0.359527,0.506461,2
621,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.725996,0.01615,0.057947,0.150114,0.049793,74,11,72,3,0.446517,0.535082,0.410812,0.49262,2
