@relation Training

@attribute id numeric
@attribute score_tag {NONE,P,NEU,N,P+,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute anger numeric
@attribute joy numeric
@attribute fear numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute noAlphanumerics numeric
@attribute negation_words numeric
@attribute word_number numeric
@attribute misspelled numeric
@attribute extraversion numeric
@attribute openness numeric
@attribute agreeableness numeric
@attribute conscientiousness numeric
@attribute class {1,2,3,4,5}

@data
33,N,AGREEMENT,SUBJECTIVE,90,IRONIC,0.425675,0.038292,0.062272,0.454412,0.01935,118,0,116,9,0.542288,0.509151,0.496425,0.490156,1
34,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.390713,0.10813,0.172704,0.303206,0.025248,64,11,61,2,0.473426,0.54038,0.409704,0.525785,1
35,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.371632,0.160041,0.087122,0.352119,0.029086,58,11,56,1,0.492206,0.506242,0.563818,0.507045,1
36,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.294242,0.053514,0.249544,0.386588,0.016112,131,0,128,5,0.475846,0.501754,0.410852,0.491933,1
37,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.149025,0.118529,0.137632,0.55164,0.043174,76,33,71,1,0.503629,0.549636,0.415868,0.520169,1
38,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.331391,0.073258,0.180779,0.37777,0.036801,93,0,90,3,0.405104,0.52985,0.398211,0.525208,1
39,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.648127,0.07106,0.046396,0.070651,0.163765,208,11,202,10,0.419252,0.658002,0.397366,0.457119,1
40,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.517526,0.030933,0.125807,0.321962,0.003772,44,11,42,0,0.574836,0.581385,0.43594,0.497777,1
41,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.701914,0.035846,0.030442,0.199038,0.03276,120,22,117,4,0.48713,0.565044,0.352874,0.456715,1
42,N,AGREEMENT,SUBJECTIVE,82,IRONIC,0.355927,0.117444,0.078245,0.394772,0.053611,129,22,125,2,0.546696,0.522159,0.402923,0.501688,1
43,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.627726,0.018072,0.056167,0.281066,0.016968,46,33,41,1,0.476276,0.495485,0.468366,0.526958,1
44,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.697383,0.009729,0.049485,0.238823,0.00458,72,33,68,3,0.420551,0.475877,0.33662,0.562784,1
45,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.596021,0.019076,0.173123,0.194876,0.016904,90,11,88,5,0.482013,0.544315,0.380495,0.495909,1
46,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.469805,0.045277,0.054753,0.383299,0.046867,438,22,421,8,0.470792,0.479208,0.54646,0.545921,1
47,P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.775665,0.02461,0.058807,0.117398,0.023521,93,33,88,3,0.398803,0.533479,0.431127,0.581463,1
48,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.532558,0.03248,0.161814,0.207501,0.065647,140,0,117,2,0.539112,0.562985,0.518721,0.450906,1
49,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.644754,0.047436,0.03673,0.244223,0.026856,124,22,120,2,0.504898,0.577949,0.456711,0.482724,1
